modelo,mae,mse,rmse,r2
Lasso Regression,9.50517366800843,191.417985378656,13.83538887703038,0.37726961266746795
Decision Tree Regressor,7.973792349120057,143.64439720188912,11.985174058055607,0.5326889950767668
